official_order,list,citation_as_published_by_noaa,links,source_page
64,noaa_application_references,"Kardas, A.E., K. M. Markowicz, K. Stelmaszczyk, G. Karasinski, S.P. Malinowski, T. Stacewicz, L. Woeste and C. Hochhertz, 2010. Saharan aerosol sensed over Warsaw by backscatter depolarization lidar , Optica Applicata, 40 (1), 219–237. https://opticaapplicata.pwr.edu.pl/files/pdf/2010/no1/optappl_4001p219.pdf .",https://opticaapplicata.pwr.edu.pl/files/pdf/2010/no1/optappl_4001p219.pdf,https://www.arl.noaa.gov/hysplit/hysplit-references/
65,noaa_application_references,"Kazadzis. S., A. Bais, V. Amiridis, D. Balis, C. Meleti, N. Kouremeti, C. S. Zerefos, S. Rapsomanikis, M. Petrakakis, A. Kelesis, P. Tzoumaka, K. Kelektsoglou, Nine years of UV aerosol optical depth measurements at Thessaloniki, Greece , Atmospheric Chemistry and Physics, Vol. 7, pp 2091-2101, 2007",,https://www.arl.noaa.gov/hysplit/hysplit-references/
66,noaa_application_references,"Kedia, Sumita and S. Ramachandran, 2008. Latitudinal and longitudinal variation in aerosol characteristics from Sun photometer and MODIS over the Bay of Bengal and Arabian Sea during ICARB , Journal of Earth System Science, 117, 375-387",,https://www.arl.noaa.gov/hysplit/hysplit-references/
67,noaa_application_references,"Kedia, Sumita and S. Ramachandran, 2009. Variability in aerosol optical and physical characteristics over the Bay of Bengal and the Arabian Sea deduced from Angstrom exponents , J. Geophys. Res., 114, D14207, doi:10.1029/2009JD011950 .",https://doi.org/10.1029/2009JD011950,https://www.arl.noaa.gov/hysplit/hysplit-references/
68,noaa_application_references,"Kim, K.S. and Beresford, R.M. 2008. Use of a spectrum model and satellite cloud data in the simulation of wheat stripe rust (Puccinia striiformis) dispersal across the Tasman Sea in 1980 , Agric. For. Meteor., 148:1374-1382.",,https://www.arl.noaa.gov/hysplit/hysplit-references/
69,noaa_application_references,"Knox, J.A., Rackley, J.A., Black, A.W., Vittorio, A.G., Butler, M., Dunn, C., Gallo, T., Hunter, M.R., Lindsey, L., Phan, M., Scroggs, R., and Brustad, S., 2013. Tornado Debris Characteristics And Trajectories During The 27 April 2011 Super Outbreak As Determined Using Social Media Data. Bull. Amer. Meteor. Soc., 94, 1371–1380 doi:10.1175/BAMS-D-12-00036.1 .",https://doi.org/10.1175/BAMS-D-12-00036.1,https://www.arl.noaa.gov/hysplit/hysplit-references/
70,noaa_application_references,"Koukouli, M.E., D.S. Balis, V. Amiridis, S. Kazadzis, A. Bais, S. Nickovic and O. Torres, Aerosol variability over Thessaloniki using ground based remote sensing observations and the TOMS aerosol index , Atmospheric Environment, Volume 40, Issue 28, September 2006, Pages 5367-5378",,https://www.arl.noaa.gov/hysplit/hysplit-references/
71,noaa_application_references,"Krklec, K. and D. Dom�nguez-Villar, 2014. Quantification of the impact of moisture source regions on the oxygen isotope composition of precipitation over Eagle Cave, central Spain . Geochimica et Cosmochimica Acta. 134, 39-54. DOI: 10.1016/j.gca.2014.03.011 .",https://doi.org/10.1016/j.gca.2014.03.011,https://www.arl.noaa.gov/hysplit/hysplit-references/
72,noaa_application_references,"Kumar M, Tiwari S, Murari V, Singh AK and Banerjee T. 2015. Wintertime characteristics of aerosols at middle Indo-Gangetic Plain: Impacts of regional meteorology and long range transport . Atmospheric Environment, 104: 162-175. ( DOI: doi:10.1016/j.atmosenv.2015.01.014 . )",https://doi.org/10.1016/j.atmosenv.2015.01.014,https://www.arl.noaa.gov/hysplit/hysplit-references/
73,noaa_application_references,"Lee, L.Y.L., Kwok, R.C.W., Cheung, Y.P., Yu, K.N., 2004. Analyses of airborne 7Be Concentrations in Hong Kong Using Back Trajectories , Atmospheric Environment, 38, 7033-7040.",,https://www.arl.noaa.gov/hysplit/hysplit-references/
74,noaa_application_references,"Liu, G., J.J. Liu, D.W. Tarasick, V.E. Fioletov, J. Liu, J. Jin, O. Moeini,C.E. Sioris and M. Osman, 2013, A global tropospheric ozone climatology from trajectory-mapped ozone soundings , Atmos. Chem. Phys.,13, 10659-10675, doi:10.5194/acp-13-10659-2013 .",https://doi.org/10.5194/acp-13-10659-2013,https://www.arl.noaa.gov/hysplit/hysplit-references/
75,noaa_application_references,"Liu, J., D.W. Tarasick, V.E. Fioletov, C. McLinden T. Zhao, S. Gong, C. Sioris, J. Jin, G. Liu, and O. Moeini, 2013, A Global Ozone Climatology from Ozone Soundings via Trajectory Mapping: A Stratospheric Perspective , Atmos. Chem. Phys., 13, 11441-11464, doi:10.5194/acp-13-11441-2013 .",https://doi.org/10.5194/acp-13-11441-2013,https://www.arl.noaa.gov/hysplit/hysplit-references/
76,noaa_application_references,"Lu, Z., D.G. Streets, Q. Zhang, and S. Wang, 2012, A novel back-trajectory analysis of the origin of black carbon transported to the Himalayas and Tibetan Plateau during 1996-2010 , Geophys. Res. Let., 39, L01809, doi:10.1029/2011GL049903 .",https://doi.org/10.1029/2011GL049903,https://www.arl.noaa.gov/hysplit/hysplit-references/
77,noaa_application_references,"Magallanes J.F., Murruni L., Gomez D., Smichowski P, Gettar R., 2008, An Approach to Air Pollution Source Receptor Solution by Angular Distances , Water Air Soil Pollut., 188:235.245 DOI 10.1007/s11270-007-9540-8 .",https://doi.org/10.1007/s11270-007-9540-8,https://www.arl.noaa.gov/hysplit/hysplit-references/
78,noaa_application_references,"Mahura,A., Korsholm, Baklanov, Rasmussen, 2007. Elevated birch pollen episodes in Denmark: contributions from remote sources , Aerobiologia, Vol 23, pp. 171-179. DOI : 10.1007/s10453-007-9061-3 .",https://doi.org/10.1007/s10453-007-9061-3,https://www.arl.noaa.gov/hysplit/hysplit-references/
79,noaa_application_references,"Marenco, F., P. Bonasoni, F. Calzolari, M. Ceriani, M. Chiari, P. Cristofanelli, A. D’Alessandro, P. Fermo, F. Lucarelli, F. Mazzei, S. Nava, A. Piazzalunga, P. Prati, G. Valli, R. Vecchi, Characterization of atmospheric aerosols at Monte Cimone, Italy, during summer 2004: Source apportionment and transport mechanisms , J. Geophys. Res. 111, D24202, doi:10.1029/2006JD007145 . (2006)",https://doi.org/10.1029/2006JD007145,https://www.arl.noaa.gov/hysplit/hysplit-references/
80,noaa_application_references,"Mc Innes, H., J.E. Kristjansson , H. Schyberg, B. Rosting, 2009. An assessment of a Greenland lee cyclone during the Greenland Flow Distortion experiment – an observational approach . Q. J. R. Meteorol. Soc. 135: 1968-1985.",,https://www.arl.noaa.gov/hysplit/hysplit-references/
81,noaa_application_references,"Meloni D., di Sarra A., Di Iorio T., Fiocco G., Direct radiative forcing of Saharan dust in the Mediterranean from measurements at Lampedusa island and MISR space-borne observations , Journal of Geophysical Research, 109, D08206, doi:10.1029/2003JD003960 . 2004.",https://doi.org/10.1029/2003JD003960,https://www.arl.noaa.gov/hysplit/hysplit-references/
82,noaa_application_references,"Meloni D., di Sarra A., Pace G., Monteleone F., Aerosol optical properties at Lampedusa (Central Mediterranean). 2. Determination of single scattering albedo at two wavelengths for different aerosol types , Atmospheric Chemistry and Physics, 6, 715-727, 2006.",,https://www.arl.noaa.gov/hysplit/hysplit-references/
83,noaa_application_references,"Meloni D., A. di Sarra, G. Biavati, J. J. DeLuisi, F. Monteleone, G. Pace, S. Piacentino, D. M. Sferlazzo, Seasonal behavior of Saharan dust events at the Mediterranean island of Lampedusa in the period 1999-2005 , Atmospheric Environment, 41, 3041-3056, 2007.",,https://www.arl.noaa.gov/hysplit/hysplit-references/
84,noaa_application_references,"Mims,S.R., R.A. Kahn, C.M. Moroney, B.J. Gaitley, D.L. Nelson, and M.J. Garay, MISR Stereo Heights of Grassland Fire Smoke Plumes in Australia , IEEE Transactions on Geoscience and Remote Sensing, 48:25-35, January 2010, DOI: 10.1109/TGRS.2009.2027114 .",https://doi.org/10.1109/TGRS.2009.2027114,https://www.arl.noaa.gov/hysplit/hysplit-references/
85,noaa_application_references,"Ming, J., D. Zhang, S. Kang, and W. Tian (2007), Aerosol and fresh snow chemistry in the East Rongbuk Glacier on the northern slope of Mt. Qomolangma (Everest) , J. Geophys. Res., 112, D15307, doi:10.1029/2007JD008618 .",https://doi.org/10.1029/2007JD008618,https://www.arl.noaa.gov/hysplit/hysplit-references/
86,noaa_application_references,"Ming, J., H. Cachier, C. Xiao, D. Qin, S. Kang, S. Hou, and J. Xu, 2008, Black carbon record based on a shallow Himalayan ice core and its climatic implications , Atmos. Chem. Phys., 8, 1343-1352",,https://www.arl.noaa.gov/hysplit/hysplit-references/
87,noaa_application_references,"Narcisi B., Petit J.R., Delmonte B., Scarchilli C., Stenni B., 2012 A 16,000-yr tephra framework for the Antarctic ice sheet: a contribution from the new Talos Dome core , Quat. Sci. Rev. vol. 49, 52-63 doi:10.1016/j.quascirev.2012.06.011 .",https://doi.org/10.1016/j.quascirev.2012.06.011,https://www.arl.noaa.gov/hysplit/hysplit-references/
88,noaa_application_references,"Pace G., Meloni D., di Sarra A., Forest fire aerosol over the Mediterranean basin during summer 2003 , Journal of Geophysical Research, 110, D21202, doi:10.1029/2005JD005986 . 2005.",https://doi.org/10.1029/2005JD005986,https://www.arl.noaa.gov/hysplit/hysplit-references/
89,noaa_application_references,"Pace G., di Sarra A., Meloni D., Piacentino S., Chamard P., Aerosol optical properties at Lampedusa (Central Mediterranean). 1. Influence of transport and identification of different aerosol types , Atmospheric Chemistry and Physics, 6, 697-713, 2006.",,https://www.arl.noaa.gov/hysplit/hysplit-references/
90,noaa_application_references,"Papayannis, A., V. Amiridis, L. Mona, G. Tsaknakis, D. Balis, J. Bosenberg, A. Chaikovski, F. De Tomasi, I. Grigorov, I. Mattis, V. Mitev, D. Muller, S. Nickovic, C. Perez, A. Pietruczuk, G. Pisani, F. Ravetta, V. Rizi, M. Sicard, T. Trickl, M. Wiegner, M. Gerding, R. E. Mamouri, G. Amico, and G. Pappalardo, Systematic lidar observations of Saharan dust over Europe in the frame of EARLINET (2000-2012) , J. Geophys. Res., Vol. 113, D10204, doi:10.1029/2007JD009028 . 2008.",https://doi.org/10.1029/2007JD009028,https://www.arl.noaa.gov/hysplit/hysplit-references/
91,noaa_application_references,"Pappalardo, G., L. Mona, G. D<92>Amico, et. al., 2013, Four-dimensional distribution of the 2010 Eyjafjallajokull volcanic cloud over Europe observed by EARLINET , Atmos. Chem. Phys., 13, 4429-4450, doi:10.5194/acp-13-4429-2013 .",https://doi.org/10.5194/acp-13-4429-2013,https://www.arl.noaa.gov/hysplit/hysplit-references/
92,noaa_application_references,"Park, J., J. Ryu, D. Kim, J. Yeo, and H. Lee, 2016: Long-Range Transport of SO2 from Continental Asia to Northeast Asia and the Northwest Pacific Ocean: Flow Rate Estimation Using OMI Data, Surface in Situ Data, and the HYSPLIT Model , Atmosphere 2016, 7(4), 53; doi:10.3390/atmos7040053 .",https://doi.org/10.3390/atmos7040053,https://www.arl.noaa.gov/hysplit/hysplit-references/
93,noaa_application_references,"Park, S.K., M.S. O’Neill, B.J.B. Stunder, P.S. Vokonas, D. Sparrow, P. Koutrakis, and J. Schwartz, 2007: Source location of air pollution and cardiac autonomic function: Trajectory cluster analysis for exposure assessment , J. Exposure Science and Environmental Epidemiology. 1-10.",,https://www.arl.noaa.gov/hysplit/hysplit-references/
94,noaa_application_references,"Pasken, R. W. and J. Pietrowicz, 2002; Graphical displays of pollen concentration forecasts. 15th Conference on Biometeorology and Aerobiology. American Meteorological Society Kansas City, Mo.",,https://www.arl.noaa.gov/hysplit/hysplit-references/
95,noaa_application_references,"Pasken, R. W. and J. Pietrowicz, 2002; Using mesoscale models as a tool to forecast pollen concentrations. MM5 Users Conference. National Center for Atmospheric Research Boulder Co., June 2002",,https://www.arl.noaa.gov/hysplit/hysplit-references/
96,noaa_application_references,"Pedretti S. (Thesis, 2004); Monthly pollen rain sampling at the Modena Botanic garden, 2002: first example of the application NOAA Hysplit 4 Model for November.” Universita’ di Modena e Reggio Emilia. Modena, Italy.",,https://www.arl.noaa.gov/hysplit/hysplit-references/
97,noaa_application_references,"Perkauskas D. 1999. Evaluation of possible short term air pollution transport from the Ignalina nuclear power plant . Environmental and Chemical Physics, 21, No 3-4, 83-88.",,https://www.arl.noaa.gov/hysplit/hysplit-references/
98,noaa_application_references,"Perkauskas D., 2000. Evaluation of possible air pollution transport from the Ignalina nuclear power station in regional scale . Proceedings of Millennium (24th) NATO/CCMS International Technical Meeting on Air Pollution Modelling and its Application, 15-19 May 2000, Boulder, Colorado, 212-213.",,https://www.arl.noaa.gov/hysplit/hysplit-references/
99,noaa_application_references,"Perkauskas D., 2001. Evaluation of possible short term accidental release from the Ignalina nuclear power station in regional scale . Proceedings from the EUROTRAC Symposium 2000, P.H. Midgley, M.Reuther, M Williams (Eds.), Springer Verlag, Berlin, Heidelberg 2001, 4p. (in press).",,https://www.arl.noaa.gov/hysplit/hysplit-references/
100,noaa_application_references,"Petit R.H., M. LeGrand, I. Jankowiak, J.MoliniE, J.L. Mansot, G. Marion, C. Asselin De Beauville, 2005: Transport of Saharan dust over the Caribbean Islands: Study of an event. J.Geophys. Res., Vol. 110, No. D18, D18S09, special issue: Quantifying the radiative and the biogeochemical impact of mineral dust.",,https://www.arl.noaa.gov/hysplit/hysplit-references/
101,noaa_application_references,"Pietrowicz, J. and R. W. Pasken, 2002. The use of mesoscale meteorological models as a tool for pollen concentration forecasts. 15th Conference on Biometeorology and Aerobiology. American Meteorological Society Kansas City, Mo.",,https://www.arl.noaa.gov/hysplit/hysplit-references/
102,noaa_application_references,"Pietrowicz J. and R. W. Pasken, 2002. Testing of meteorological models as a tool to forecast pollen concentrations. MM5 Users Conference. National Center for Atmospheric Research Boulder Co., June 2002",,https://www.arl.noaa.gov/hysplit/hysplit-references/
103,noaa_application_references,"Pommier, M., C.A. McLinden, J.A. Neuman, J.B. Nowak, 2012. Biomass burning in Siberia as a source of BrO to the Arctic free troposphere. Atmospheric Environment, 62, 416-423. doi:10.1016/j.atmosenv.2012.08.070 .",https://doi.org/10.1016/j.atmosenv.2012.08.070,https://www.arl.noaa.gov/hysplit/hysplit-references/
104,noaa_application_references,"Pulido-Villena, E., I. Reche, and R. Morales-Baquero, 2006. Significance of atmospheric inputs of calcium over the southwestern Mediterranean region: High mountain lakes as tools for detection . Global Biogeochemical Cycles, 20, GB2012, doi:10.1029/2005GB002662 .",https://doi.org/10.1029/2005GB002662,https://www.arl.noaa.gov/hysplit/hysplit-references/
105,noaa_application_references,"Querol, X., A. Alastuey, J. Puicercus, E. Mantilla, J.V. Miro, A. Lopez-Soler, F. Plana, B. Artinano. 1998. Seasonal evolution of suspended particles around a large coal-fired power station: particulate levels and sources , Atm. Environ., 32:1963-1978.",,https://www.arl.noaa.gov/hysplit/hysplit-references/
106,noaa_application_references,"Quinn, P.K., D.J. Coffman, T.S. Bates, T.L. Miller, J.E. Johnson, K. Voss, E.J. Welton, and C. Neususs, Dominant Aerosol Chemical Components and Their Contribution to Extinction During the Aerosols99 Cruise Across the Atlantic , J. Geophys. Res., accepted, 2000.",,https://www.arl.noaa.gov/hysplit/hysplit-references/
107,noaa_application_references,"Quinn, P.K., T.S. Bates, T.L. Miller, D.J. Coffman, J.E. Johnson, J. M. Harris, J.A. Ogren, G. Forbes, T.L. Anderson, D.S. Covert, and M.J. Rood, Surface Submicron Aerosol Chemical Composition: What Fraction is Not Sulfate? J. Geophys. Res., 105, 6785 – 6806, 2000.",,https://www.arl.noaa.gov/hysplit/hysplit-references/
108,noaa_application_references,"Quinn, P.K., T.S. Bates, D.J. Coffman, T.L. Miller, J.E. Johnson, D.S. Covert, J.P. Putaud, C. Nesusseus, and T. Novakov, A comparison of aerosol chemical and optical properties from the first and second aerosol characterization experiments , Tellus, 52B, 239 – 257, 2000.",,https://www.arl.noaa.gov/hysplit/hysplit-references/
109,noaa_application_references,"Quinn, P.K., D.J. Coffman, V.N. Kapustin, T.S. Bates and D.S. Covert, Aerosol optical properties in the marine boundary layer during ACE 1 and the underlying chemical and physical aerosol properties , J. Geophys. Res., 103, 16,547 – 16,563, 1998.",,https://www.arl.noaa.gov/hysplit/hysplit-references/
110,noaa_application_references,"Quinn, P.K., V.N. Kapustin, T.S. Bates, and D.S. Covert, Chemical and optical properties of marine boundary layer aerosol particles of the mid-Pacific in relation to sources and meteorological transport , J. Geophys. Res., 101, 6931 – 6951, 1996.",,https://www.arl.noaa.gov/hysplit/hysplit-references/
111,noaa_application_references,"Quinn, P.K., D.S. Covert, T.S. Bates, V.N. Kapustin, D.C. Ramsey-Bell, and L.M. McInnes, Relationships between size-resolved particulate non-seasalt sulfate, methanesulfonate, and ammonium mass and number concentration , J. Geophys. Res., 98, 10411 – 10427, 1993.",,https://www.arl.noaa.gov/hysplit/hysplit-references/
112,noaa_application_references,"Ramachandran, S., and A. Jayaraman, 2002. Premonsoon aerosol mass loadings and size distributions over the Arabian Sea and the tropical Indian Ocean , J. Geophys. Res., 107(D24), 4738",,https://www.arl.noaa.gov/hysplit/hysplit-references/
113,noaa_application_references,"Ramachandran, S., and A. Jayaraman, 2003. Spectral aerosol optical depths over Bay of Bengal and Chennai: II – Sources, anthropogenic influence and model estimates , Atmospheric Environment, 37, 1951-1962.",,https://www.arl.noaa.gov/hysplit/hysplit-references/
114,noaa_application_references,"Ramachandran, S., 2005. PM 2.5 mass concentrations in comparison with aerosol optical depths over the Arabian Sea and Indian Ocean during winter monsoon , Atmospheric Environment, 39, 1879-1890.",,https://www.arl.noaa.gov/hysplit/hysplit-references/
115,noaa_application_references,"Ramachandran, S. and T.A. Rajesh, 2008. Asymmetry parameters in the lower troposphere derived from aircraft measurements of aerosol scattering coefficients over tropical India , Journal of Geophysical Research, 113, D16212, doi:10.1029/2008JD009795 . 2008",https://doi.org/10.1029/2008JD009795,https://www.arl.noaa.gov/hysplit/hysplit-references/
116,noaa_application_references,"Redeker, K. R., S. Davis, and R. M. Kalin (2007), Isotope values of atmospheric halocarbons and hydrocarbons from Irish urban, rural, and marine locations , J. Geophys. Res., 112, D16307, doi:10.1029/2006JD007784 .",https://doi.org/10.1029/2006JD007784,https://www.arl.noaa.gov/hysplit/hysplit-references/
117,noaa_application_references,"Rijkenberg, M. J. A., Powell, C. F., Dall’Osto, M., Nielsdottir, M. C., Patey. M. D.., Hill, P. G., Baker, A. R., Jickells, T. D., Harrison, R. M., Achterberg, E. P. (2008), Changes in iron speciation following a Saharan dust event in the tropical North Atlantic Ocean , Mar. Chem., 110, 56-67.",,https://www.arl.noaa.gov/hysplit/hysplit-references/
118,noaa_application_references,"Saha, A., 2004. Investigations of aerosol characteristics over Arabian Sea, tropical Indian Ocean and coastal India during northern winter , Ph.D Thesis, Andhra University, Visakhapatnam (India).",,https://www.arl.noaa.gov/hysplit/hysplit-references/
119,noaa_application_references,"Sala M., B. Delmonte, M. Frezzotti, M. Proposito, C. Scarchilli, V. Maggi, G. Artioli, M. D Fapiaggi, F. Marino, P.C. Ricci, G. De Giudici, 2008 Calcium carbonates in coastal (Ross Sea area) East Antarctic snow and firn as novel indicators for sea ice Earth Planet. Sci. Lett. Volume: 271 Issue: 1-4 Pages: 43-52 doi:10.1016/j.epsl.2008.03.045 .",https://doi.org/10.1016/j.epsl.2008.03.045,https://www.arl.noaa.gov/hysplit/hysplit-references/
120,noaa_application_references,"Salvador, P., Artinano B., Alonso D.G., Querol X., Alastuey A., 2004. Identification and characterization of sources of PM10 in Madrid (Spain) by statistical methods , Atmospheric Environment, 38, 435-447.",,https://www.arl.noaa.gov/hysplit/hysplit-references/
121,noaa_application_references,"Sapkota, A., J.M. Symons, J. Kleissl, L. Wang, M. Parlange, J. Ondov, P. Breysse, G. Diette, P. Eggleston, T. Buckley, 2005. Impact of the 2002 Canadian Forest Fires on Particulate Matter Air Quality in Baltimore City , Environmental Science and Technology, Volume 39, No. 1, 2005, pp. 24-32.",,https://www.arl.noaa.gov/hysplit/hysplit-references/
122,noaa_application_references,"Scarchilli, C, Frezzotti, M, PM Ruti, 2011 Snow precipitation at four ice core sites in East Antarctica: provenance, seasonality and blocking factors Clim. Dyn. doi:10.1007/s00382-010-0946-4 .",https://doi.org/10.1007/s00382-010-0946-4,https://www.arl.noaa.gov/hysplit/hysplit-references/
123,noaa_application_references,"Schmeling, M., 2001. Total-reflection X-ray fluorescence – a tool to obtain information about different air masses and air pollution , Spectrochimica Acta, B56, 2127-2136.",,https://www.arl.noaa.gov/hysplit/hysplit-references/
124,noaa_application_references,"Segal, B., H. Evangelista, M. Kampel, A.C. Goncalves, P.S. Polito, E.A. dos Santos, 2008, Potential impacts of polar fronts on sedimentation processes at Abrolhos coral reef (South-West Atlantic Ocean/Brazil) . Continental Shelf Research, doi:10.1016 /j.csr.2007.11.003 .",https://doi.org/10.1016/j.csr.2007.11.003,https://www.arl.noaa.gov/hysplit/hysplit-references/
125,noaa_application_references,"Siems, S.T., G.D. Hess, K. Suhre, S. Businger, R.R. Draxler, The impact of wind shear on observed and simulated trajectories during the ACE-1 Lagrangian experiments , Aust. Met. Mag., 49, 109 – 120, 2000.",,https://www.arl.noaa.gov/hysplit/hysplit-references/
126,noaa_application_references,"Sinha, P.R., U.C. Dumka, R.K. Manchanda, D.G. Kaskaoutis, S. Sreenivasan, K.K. Moorthy, and S.S. Babu, 2012, Contrasting aerosol characteristics and radiative forcing over Hyderabad, India due to seasonal mesoscale and synoptic-scale processes , Q.J.R. Meteorol. Soc.",,https://www.arl.noaa.gov/hysplit/hysplit-references/
127,noaa_application_references,"Sinha, P.R., R.K. Manchanda, D.G. Kaskaoutis, S. Sreenivasan, K.K. Moorthy, S.S. Babu, 2012, Spatial heterogeneities in aerosol size distribution over Bay of Bengal during Winter- ICARB Experiment , Atmospheric Environment, doi:10.1016/j.atmosenv.2011.04.085 .",https://doi.org/10.1016/j.atmosenv.2011.04.085,https://www.arl.noaa.gov/hysplit/hysplit-references/
128,noaa_application_references,"Sinha, P.R., R.K. Manchanda, J.V. Subbarao, U.C. Dumka, S. Sreenivasan, S.S. Babu, K.K. Moorthy, 2011, Spatial distribution and vertical structure of the MABL aerosols over Bay of Bengal during winter: results from W-ICARB experiment , J. Atmos. Solar-Terrestrial Physics, 73, 430-438, doi:10.1016/j.jastp.2010.10.011 .",https://doi.org/10.1016/j.jastp.2010.10.011,https://www.arl.noaa.gov/hysplit/hysplit-references/
129,noaa_application_references,"Sinha, P.R., D.G. Kaskaoutis, R.K. Manchanda, and S. Sreenivasan, 2012, Characteristics of aerosols over Hyderabad in southern Peninsular India: synergy in the classification techniques , Ann. Geophys., 30, 1393-1410.",,https://www.arl.noaa.gov/hysplit/hysplit-references/
130,noaa_application_references,"Skjoth, C.A., J. Sommer, L. Frederiksen, and U.G. Karlson, 2012, Crop harvest in Denmark and Central Europe contributes to the local load of airborne Alternaria spore concentrations in Copenhagen , Atmos. Chem. Phys., 12, 11107-11123, doi:10.5194/acp-12-11107-2012 . 2012.",https://doi.org/10.5194/acp-12-11107-2012,https://www.arl.noaa.gov/hysplit/hysplit-references/
131,noaa_application_references,"Sorooshian, A., Murphy, S. M., Hersey, S., Gates, H., Padró. T., Nenes, A., Brechtel, F. J., Jonsson, H., Flagan, R. C., and J. H. Seinfeld ,2008: Comprehensive airborne characterization of aerosol from a major bovine source , Atmos. Chem. Phys., 8, 5489-5520.",,https://www.arl.noaa.gov/hysplit/hysplit-references/
132,noaa_application_references,"Srinivas,C.V., R. Venkatesan, V. Yesubabu, C. Nagaraju, K.M. Somayajai, P. Chellapandi, Baldev Raj, 2010, Assimilation of conventional and satellite wind observations in a mesoscale atmospheric model for studying atmospheric dispersion , Atmospheric Environment, 44:2846-2864, doi:10.1016/j.atmosenv.2010.04.051 .",https://doi.org/10.1016/j.atmosenv.2010.04.051,https://www.arl.noaa.gov/hysplit/hysplit-references/
133,noaa_application_references,"Stein, A.F., D. Lamb, R.R. Draxler, Incorporation of detailed chemistry into a three-dimensional Lagrangian-Eulerian hybrid model: application to regional tropospheric ozone , Atm. Environ., 34, 4361 – 4372, 2000 doi:10.1016/S1352-2310(00)00204-1 .",https://doi.org/10.1016/S1352-2310(00)00204-1,https://www.arl.noaa.gov/hysplit/hysplit-references/
134,noaa_application_references,"Stock, M., Cheng, Y. F., Birmili, W., Massling, A., Wehner, B., Müller, T., Leinert, S., Kalivitis, N., Mihalopoulos, N., and Wiedensohler, A.: Hygroscopic properties of atmospheric aerosol particles over the Eastern Mediterranean: implications for regional direct radiative forcing under clean and polluted conditions , Atmos. Chem. Phys., 11, 4251-4271, doi:10.5194/acp-11-4251-2011 . 2011.",https://doi.org/10.5194/acp-11-4251-2011,https://www.arl.noaa.gov/hysplit/hysplit-references/
135,noaa_application_references,"Suthawaree, J., S. Kato, A. Takami, S. Hatakeyama, H. Kadena, M. Toguchi, K. Yogi, Y. Kajii, Observation of ozone and carbon monoxide at Cape Hedo, Japan: Seasonal variation and influence of long-range transport , Atm. Environ., 42, 2971-2981, doi:10.1016/j.atmosenv.2007.12.053 . (2008).",https://doi.org/10.1016/j.atmosenv.2007.12.053,https://www.arl.noaa.gov/hysplit/hysplit-references/
136,noaa_application_references,"Tarasick, D.W., J.J. Jin, V.E. Fioletov, G. Liu, A.M. Thompson, S.J. Oltmans, J. Liu, C.E. Sioris, X. Liu, O.R. Cooper, T. Dann and V. Thouret, 2010, High-resolution tropospheric ozone fields for INTEX and ARCTAS from IONS ozonesondes , J. Geophys. Res.,115, D20301, doi:10.1029/2009JD012918 .",https://doi.org/10.1029/2009JD012918,https://www.arl.noaa.gov/hysplit/hysplit-references/
137,noaa_application_references,"Trickl,T., H. Vogelmann, H. Flentje, and L. Ries, Stratospheric ozone in boreal fire plumes – the 2013 smoke season over central Europe , Atmos. Chem. Phys., 15, 9631-9649, 2015.",,https://www.arl.noaa.gov/hysplit/hysplit-references/
138,noaa_application_references,"Trickl,T., et al., How stratospheric are deep stratospheric intrusions? , Atmos. Chem. Phys., 14, 9941-9961, 2014.",,https://www.arl.noaa.gov/hysplit/hysplit-references/
139,noaa_application_references,"Trickl, T., H. Giehl, H. Jager, and H. Vogelmann, 2013, 35 yr of stratospheric aerosol measurements at Garmisch-Partenkirchen: from Fuego to Eyjafjallajokull, and beyond , Atmos. Chem. Phys., 13, 5205-5225, doi:10.5194/acp-13-5205-2013 .",https://doi.org/10.5194/acp-13-5205-2013,https://www.arl.noaa.gov/hysplit/hysplit-references/
140,noaa_application_references,"Trickl,T., N. Bartsch-Ritter, H. Eisele, M. Furger, R. Mucke, M. Sprenger, and A. Stohl, High-ozone layers in the middle and upper troposphere above Central Europe: potential impact from the stratosphere along the subtropical jet stream , Atmos. Chem. Phys., 11, 9343-9366, 2011, doi:10.5194/acp-11-9343-2011 .",https://doi.org/10.5194/acp-11-9343-2011,https://www.arl.noaa.gov/hysplit/hysplit-references/
141,noaa_application_references,"Trickl,T., H. Feldmann, H.-J. Kanter, H.-E. Scheel, M. Sprenger, A. Stohl, and H. Wernli, Forecasted deep stratospheric intrusions over Central Europe: case studies and climatologies , Atmos. Chem. Phys., 10, 499-524, 2010.",,https://www.arl.noaa.gov/hysplit/hysplit-references/
142,noaa_application_references,"Uno,I., K. Eguchi, K. Yumimoto, T. Takemura, A., M. Uematsu, Z. Liu, Z. Wang, Y. Hara, and N. Sugimoto, 2009: Asian dust transported one full circuit around the globe , Nature Geoscience, 2:557-560, DOI: 10.1038/NGEO583 .",https://doi.org/10.1038/NGEO583,https://www.arl.noaa.gov/hysplit/hysplit-references/
143,noaa_application_references,"Van De Water, P.K., T. Keever, C.E. Main, and E. Levetin, 2003: An assessment of predictive forecasting of Juniperus ashei pollen movement in the Southern Great Plains , USA, Int. J. Biometeorol. 48:74-82.",,https://www.arl.noaa.gov/hysplit/hysplit-references/
